"thumbnail_s3_url","desc_style"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/chaexxhee/C_1zIYTzeQD.jpg,"[""#데일리룩"", ""#학생코디"", ""#코디추천"", ""#대학생룩"", ""#코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/chaexxhee/DAhoQOFT-C6.jpg,"[""#트위드자켓코디"", ""#가을코디여자""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/_jnroo/DDGaleTyCz8.jpg,"[""#연말룩""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/_jnroo/DFts_2YyI-Q.jpg,"[""#슬랙스코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/_jnroo/DDgNEfqSRJZ.jpg,"[""#연말룩""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/coooxoh/DCAjHHlzH6b.jpg,"[""#가을코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/coooxoh/DBm9nfwztby.jpg,"[""#가을코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/coooxoh/C_hlEelpZsE.jpg,"[""#가을코디"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/coooxoh/DBTSn3sJ03y.jpg,"[""#가을코디"", ""#니트코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/_minseoup/DCUS9-Nz4jd.jpg,"[""#dailylook"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/urbane_me/C_mdsYlSgzd.jpg,"[""#가을코디"", ""#공항룩""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/frommoi/DFzqJJevm4a.jpg,"[""#봄코디"", ""#니트코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/flow_yumi/C_XMbNEp1Wh.jpg,"[""#자켓코디"", ""#스타일"", ""#레이어드룩"", ""#스타일링"", ""#신상코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/chaexxhee/DDZBqvxTNmj.jpg,"[""#겨울룩"", ""#겨울여자코디"", ""#여자코디"", ""#겨울코디"", ""#코트코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/k__gani/DDOcmF-zql8.jpg,"[""#패션""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/k__gani/DCgdltcJZhq.jpg,"[""#스타킹코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/dear_jungyeon/DFKxXjaSg2a.jpg,"[""#가디건코디"", ""#스쿨룩"", ""#운동화코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/ri__ta__/DBapmGFyCnf.jpg,"[""#룩스컬러""]"
